,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
10,10,10,4,2,rel4,1,4,irr,rel,rel,rel,irr,mid4,mid3,high2,5,3,1,4,0,25,-25,20,0,-15,15,-40,0,25,-25,20,48,43,50,46,3,6,2,4,19.0,-40,20,0,1,1,"[0, 5, 1, 3]",0
11,11,12,4,2,rel4,1,4,rel,irr,rel,irr,low1,irr,mid3,irr,2,6,1,5,-15,0,-25,0,5,0,15,0,-15,0,-25,0,49,45,50,48,1,5,2,3,-41.0,20,-40,1,1,1,"[0, 5, 1, 3]",0
12,12,20,4,2,rel4,1,4,rel,irr,rel,rel,mid3,irr,mid4,low1,1,6,3,2,-25,0,25,-15,15,0,-15,5,-25,0,25,-15,50,45,43,49,2,5,6,1,-14.0,5,-15,1,1,1,"[0, 5, 1, 3]",0
13,13,18,4,2,rel4,1,4,irr,rel,rel,rel,irr,mid4,high2,low1,6,3,4,2,0,25,20,-15,0,-15,-40,5,0,25,20,-15,45,43,46,49,5,6,4,1,31.0,-50,30,1,1,0,"[0, 5, 1, 3]",1
14,14,6,4,2,rel4,1,4,rel,rel,irr,rel,high2,mid3,irr,mid4,4,1,5,3,20,-25,0,25,-40,15,0,-15,20,-25,0,25,46,50,48,43,4,2,3,6,21.0,-40,20,1,1,0,"[0, 5, 1, 3]",0
15,15,13,4,1,rel4,1,4,rel,rel,rel,irr,high2,mid4,mid3,irr,4,3,1,6,-40,-15,15,0,-40,-15,15,0,20,25,-25,0,46,43,50,45,4,6,2,5,-39.0,-40,20,1,1,1,"[0, 5, 1, 3]",0
16,16,11,4,1,rel4,1,4,rel,rel,rel,irr,mid4,mid3,high2,irr,3,1,4,6,-15,15,-40,0,-15,15,-40,0,25,-25,20,0,43,50,46,45,6,2,4,5,-40.0,-40,20,0,1,0,"[0, 5, 1, 3]",0
17,17,5,4,1,rel4,1,4,irr,rel,rel,irr,irr,high2,mid4,irr,5,4,3,6,0,-40,-15,0,0,-40,-15,0,0,20,25,0,48,46,43,45,3,4,6,5,-55.0,-55,45,0,1,0,"[0, 5, 1, 3]",0
18,18,7,4,1,rel4,1,4,irr,rel,irr,rel,irr,high2,irr,mid4,5,4,6,3,0,-40,0,-15,0,-40,0,-15,0,20,0,25,48,46,45,43,3,4,5,6,-52.0,-55,45,0,1,0,"[0, 5, 1, 3]",0
19,19,19,4,1,rel4,1,4,irr,rel,rel,irr,irr,mid3,high2,irr,6,1,4,5,0,15,-40,0,0,15,-40,0,0,-25,20,0,45,50,46,48,5,2,4,3,-24.0,-25,-5,1,1,1,"[0, 5, 1, 3]",0
