,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision
46,46,17,4,1,rel4,2,2,rel,irr,mid4,irr,4,5,-15,0,-15,0,25,0,47,50,6,4,-16.0,-15,25,1,1,0
47,47,40,4,2,rel4,2,2,rel,rel,mid1,low3,1,2,-15,-5,25,15,-15,-5,42,46,3,2,-21.0,40,-20,0,1,0
48,48,27,4,1,rel4,2,2,rel,rel,low2,low3,3,2,-5,15,-5,15,15,-5,41,46,1,2,10.0,10,10,1,1,0
49,49,20,4,2,rel4,2,2,rel,rel,low3,mid1,2,1,-5,-15,15,25,-5,-15,46,42,2,3,-24.0,40,-20,0,1,1
50,50,51,4,1,rel4,2,2,rel,rel,mid1,low3,1,2,25,15,25,15,-15,-5,42,46,3,2,44.0,40,-20,1,1,0
51,51,14,4,2,rel4,2,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,43,42,5,3,-15.0,25,-15,1,1,1
52,52,13,4,1,rel4,2,2,rel,irr,low3,irr,2,5,15,0,15,0,-5,0,46,50,2,4,17.0,15,-5,0,1,0
53,53,2,4,2,rel4,2,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,43,42,5,3,-14.0,25,-15,1,1,1
54,54,34,4,2,rel4,2,2,rel,rel,mid4,low3,4,2,25,-5,-15,15,25,-5,47,46,6,2,18.0,0,20,1,1,1
55,55,32,4,2,rel4,2,2,rel,irr,low2,irr,3,6,15,0,-5,0,15,0,41,43,1,5,14.0,-5,15,0,1,0
56,56,30,4,2,rel4,2,2,rel,rel,low2,mid4,3,4,15,25,-5,-15,15,25,41,47,1,6,37.0,-20,40,1,1,1
57,57,23,4,1,rel4,2,2,rel,rel,low2,mid4,3,4,-5,-15,-5,-15,15,25,41,47,1,6,-23.0,-20,40,0,1,0
58,58,52,4,2,rel4,2,2,rel,rel,low2,mid1,3,1,15,-15,-5,25,15,-15,41,42,1,3,0.0,20,0,1,1,1
59,59,54,4,2,rel4,2,2,irr,rel,irr,low2,5,3,0,15,0,-5,0,15,50,41,4,1,16.0,-5,15,0,1,0
