,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
10,10,20,3,2,rel3,3,4,rel,rel,irr,irr,high1,mid4,irr,irr,1,2,5,6,-20,25,0,0,40,-15,0,0,-20,25,0,0,38,33,39,35,4,5,1,6,2.0,25,5,0,1,0,"[3, 4, 1]",0
11,11,16,3,2,rel3,3,4,irr,rel,irr,rel,irr,mid2,irr,high1,6,3,5,1,0,15,0,-20,0,-25,0,40,0,15,0,-20,35,31,39,38,6,2,1,4,-3.0,15,-5,1,1,1,"[3, 4, 1]",0
12,12,14,3,2,rel3,3,4,rel,rel,irr,rel,high1,mid2,irr,mid4,1,3,5,2,-20,15,0,25,40,-25,0,-15,-20,15,0,25,38,31,39,33,4,2,1,5,18.0,0,20,1,1,1,"[3, 4, 1]",0
13,13,5,3,1,rel3,3,4,rel,rel,irr,irr,mid4,mid2,irr,irr,2,3,5,4,-15,-25,0,0,-15,-25,0,0,25,15,0,0,33,31,39,37,5,2,1,3,-42.0,-40,40,0,1,0,"[3, 4, 1]",1
14,14,11,3,1,rel3,3,4,irr,irr,rel,rel,irr,irr,high1,mid2,4,6,1,3,0,0,40,-25,0,0,40,-25,0,0,-20,15,37,35,38,31,3,6,4,2,16.0,15,-5,0,1,0,"[3, 4, 1]",0
15,15,1,3,1,rel3,3,4,rel,irr,rel,irr,high1,irr,mid4,irr,1,4,2,5,40,0,-15,0,40,0,-15,0,-20,0,25,0,38,37,33,39,4,3,5,1,25.0,25,5,1,1,1,"[3, 4, 1]",0
16,16,19,3,1,rel3,3,4,rel,irr,rel,rel,mid2,irr,mid4,high1,3,6,2,1,-25,0,-15,40,-25,0,-15,40,15,0,25,-20,31,35,33,38,2,6,5,4,-3.0,0,20,1,1,1,"[3, 4, 1]",0
17,17,4,3,2,rel3,3,4,irr,irr,rel,rel,irr,irr,mid4,high1,5,4,2,1,0,0,25,-20,0,0,-15,40,0,0,25,-20,39,37,33,38,1,3,5,4,3.0,25,5,1,1,1,"[3, 4, 1]",0
18,18,3,3,1,rel3,3,4,rel,irr,rel,rel,high1,irr,mid2,mid4,1,6,3,2,40,0,-25,-15,40,0,-25,-15,-20,0,15,25,38,35,31,33,4,6,2,5,2.0,0,20,0,1,1,"[3, 4, 1]",0
19,19,9,3,1,rel3,3,4,rel,irr,rel,irr,mid4,irr,high1,irr,2,5,1,6,-15,0,40,0,-15,0,40,0,25,0,-20,0,33,39,38,35,5,1,4,6,25.0,25,5,1,1,1,"[3, 4, 1]",0
