,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
10,10,9,4,1,rel4,5,4,rel,irr,rel,rel,mid3,irr,low2,low1,1,6,3,2,15,0,-5,5,15,0,-5,5,-25,0,15,-15,46,43,50,49,6,5,1,2,14.0,15,-25,1,1,0,"[1, 0, 2, 5]",0
11,11,10,4,2,rel4,5,4,rel,rel,irr,rel,mid3,mid4,irr,low2,1,4,5,3,-25,25,0,15,15,-15,0,-5,-25,25,0,15,46,44,48,50,6,3,4,1,20.0,-5,15,0,1,1,"[1, 0, 2, 5]",0
12,12,4,4,2,rel4,5,4,rel,rel,irr,rel,low1,mid3,irr,mid4,2,1,5,4,-15,-25,0,25,5,15,0,-15,-15,-25,0,25,49,46,48,44,2,6,4,3,-16.0,5,-15,1,1,1,"[1, 0, 2, 5]",0
13,13,14,4,2,rel4,5,4,rel,rel,rel,irr,low1,mid4,low2,irr,2,4,3,6,-15,25,15,0,5,-15,-5,0,-15,25,15,0,49,44,50,43,2,3,1,5,21.0,-15,25,1,1,0,"[1, 0, 2, 5]",1
14,14,16,4,2,rel4,5,4,rel,rel,irr,irr,low1,low2,irr,irr,2,3,5,6,-15,15,0,0,5,-5,0,0,-15,15,0,0,49,50,48,43,2,1,4,5,2.0,0,0,1,1,1,"[1, 0, 2, 5]",0
15,15,1,4,1,rel4,5,4,irr,rel,rel,rel,irr,mid3,low2,mid4,5,1,3,4,0,15,-5,-15,0,15,-5,-15,0,-25,15,25,48,46,50,44,4,6,1,3,-5.0,-5,15,0,1,1,"[1, 0, 2, 5]",0
16,16,20,4,2,rel4,5,4,irr,rel,rel,rel,irr,low1,mid3,mid4,5,2,1,4,0,-15,-25,25,0,5,15,-15,0,-15,-25,25,48,49,46,44,4,2,6,3,-17.0,5,-15,1,1,1,"[1, 0, 2, 5]",0
17,17,15,4,1,rel4,5,4,irr,rel,irr,rel,irr,low1,irr,low2,6,2,5,3,0,5,0,-5,0,5,0,-5,0,-15,0,15,43,49,48,50,5,2,4,1,0.0,0,0,0,1,0,"[1, 0, 2, 5]",0
18,18,19,4,1,rel4,5,4,irr,rel,rel,rel,irr,low2,mid4,low1,6,3,4,2,0,-5,-15,5,0,-5,-15,5,0,15,25,-15,43,50,44,49,5,1,3,2,-12.0,-15,25,1,1,0,"[1, 0, 2, 5]",0
19,19,5,4,1,rel4,5,4,rel,rel,irr,irr,mid3,low1,irr,irr,1,2,6,5,15,5,0,0,15,5,0,0,-25,-15,0,0,46,49,43,48,6,2,5,4,22.0,20,-40,0,1,0,"[1, 0, 2, 5]",0
