tr_id,no_rel_ctxts,target,rel_cond,target,relevance_stim1,relevance_stim2,relevance_stim3,condition_stim1,condition_stim2,condition_stim3,condition_id_stim1,condition_id_stim2,condition_id_stim3,outcome_stim1,outcome_stim2,outcome_stim3,stim_stim1,stim_stim2,stim_stim3,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,outcome
20,3,2,rel3,2,irr,rel,rel,irr,low-mid,low,6,1,2,0,-5,-15,40,34,35,1,3,6,-19.0
26,3,2,rel3,2,irr,irr,rel,irr,irr,low-mid,6,4,1,0,0,-5,40,38,34,1,4,3,-6.0
88,3,2,rel3,2,rel,irr,rel,low,irr,mid,2,6,3,-15,0,-20,35,40,32,6,1,5,-35.0
85,3,1,rel3,1,irr,rel,irr,irr,low,irr,6,2,4,0,5,0,40,35,38,1,6,4,8.0
83,3,1,rel3,1,irr,irr,irr,irr,irr,irr,6,4,5,0,0,0,40,38,36,1,4,2,3.0
115,3,1,rel3,1,irr,irr,irr,irr,irr,irr,6,4,5,0,0,0,40,38,36,1,4,2,0.0
120,3,2,rel3,2,rel,rel,rel,low-mid,low,mid,1,2,3,-5,-15,-20,34,35,32,3,6,5,-39.0
94,3,2,rel3,2,irr,irr,irr,irr,irr,irr,4,6,5,0,0,0,38,40,36,4,1,2,3.0
9,3,1,rel3,1,irr,irr,rel,irr,irr,low,6,5,2,0,0,5,40,36,35,1,2,6,2.0
116,3,2,rel3,2,rel,irr,rel,mid,irr,low-mid,3,6,1,-20,0,-5,32,40,34,5,1,3,-26.0
51,3,1,rel3,1,irr,irr,rel,irr,irr,low,4,6,2,0,0,5,38,40,35,4,1,6,5.0
19,3,1,rel3,1,irr,irr,rel,irr,irr,low-mid,4,6,1,0,0,15,38,40,34,4,1,3,15.0
29,3,1,rel3,1,irr,rel,rel,irr,mid,low,4,3,2,0,20,5,38,32,35,4,5,6,22.0
87,3,1,rel3,1,irr,irr,irr,irr,irr,irr,6,4,5,0,0,0,40,38,36,1,4,2,1.0
7,3,1,rel3,1,rel,irr,rel,low,irr,mid,2,5,3,5,0,20,35,36,32,6,2,5,26.0
110,3,2,rel3,2,irr,irr,rel,irr,irr,low-mid,6,4,1,0,0,-5,40,38,34,1,4,3,-4.0
56,3,2,rel3,2,rel,irr,rel,low-mid,irr,mid,1,6,3,-5,0,-20,34,40,32,3,1,5,-27.0
18,3,2,rel3,2,irr,irr,rel,irr,irr,low-mid,5,4,1,0,0,-5,36,38,34,2,4,3,-6.0
65,3,1,rel3,1,irr,rel,rel,irr,low,mid,5,2,3,0,5,20,36,35,32,2,6,5,25.0
25,3,1,rel3,1,irr,rel,irr,irr,low,irr,6,2,4,0,5,0,40,35,38,1,6,4,2.0
92,3,2,rel3,2,rel,rel,irr,mid,low-mid,irr,3,1,4,-20,-5,0,32,34,38,5,3,4,-26.0
4,3,2,rel3,2,rel,irr,irr,low-mid,irr,irr,1,5,6,-5,0,0,34,36,40,3,2,1,-6.0
50,3,2,rel3,2,irr,irr,irr,irr,irr,irr,5,6,4,0,0,0,36,40,38,2,1,4,2.0
64,3,2,rel3,2,rel,rel,irr,mid,low,irr,3,2,6,-20,-15,0,32,35,40,5,6,1,-36.0
59,3,1,rel3,1,rel,irr,rel,mid,irr,low,3,4,2,20,0,5,32,38,35,5,4,6,21.0
49,3,1,rel3,1,rel,irr,irr,mid,irr,irr,3,4,5,20,0,0,32,38,36,5,4,2,17.0
66,3,2,rel3,2,rel,rel,irr,mid,low,irr,3,2,4,-20,-15,0,32,35,38,5,6,4,-36.0
14,3,2,rel3,2,irr,irr,irr,irr,irr,irr,4,6,5,0,0,0,38,40,36,4,1,2,1.0
22,3,2,rel3,2,rel,rel,rel,mid,low,low-mid,3,2,1,-20,-15,-5,32,35,34,5,6,3,-42.0
109,3,1,rel3,1,rel,rel,irr,low-mid,low,irr,1,2,4,15,5,0,34,35,38,3,6,4,22.0
74,3,2,rel3,2,rel,irr,rel,low,irr,mid,2,6,3,-15,0,-20,35,40,32,6,1,5,-38.0
113,3,1,rel3,1,irr,rel,irr,irr,mid,irr,6,3,4,0,20,0,40,32,38,1,5,4,22.0
30,3,2,rel3,2,rel,irr,irr,low,irr,irr,2,6,4,-15,0,0,35,40,38,6,1,4,-14.0
77,3,1,rel3,1,rel,irr,rel,low-mid,irr,low,1,4,2,15,0,5,34,38,35,3,4,6,18.0
67,3,1,rel3,1,rel,rel,irr,low,low-mid,irr,2,1,6,5,15,0,35,34,40,6,3,1,16.0
117,3,1,rel3,1,irr,rel,rel,irr,mid,low-mid,6,3,1,0,20,15,40,32,34,1,5,3,35.0
44,3,2,rel3,2,irr,rel,rel,irr,mid,low-mid,5,3,1,0,-20,-5,36,32,34,2,5,3,-28.0
95,3,1,rel3,1,irr,rel,rel,irr,low-mid,mid,5,1,3,0,15,20,36,34,32,2,3,5,35.0
37,3,1,rel3,1,irr,rel,irr,irr,mid,irr,6,3,5,0,20,0,40,32,36,1,5,2,19.0
68,3,2,rel3,2,rel,irr,irr,low-mid,irr,irr,1,5,4,-5,0,0,34,36,38,3,2,4,-8.0
33,3,1,rel3,1,irr,irr,rel,irr,irr,low-mid,5,4,1,0,0,15,36,38,34,2,4,3,11.0
40,3,2,rel3,2,irr,rel,irr,irr,low,irr,4,2,6,0,-15,0,38,35,40,4,6,1,-13.0
76,3,2,rel3,2,irr,rel,rel,irr,mid,low,4,3,2,0,-20,-15,38,32,35,4,5,6,-36.0
108,3,2,rel3,2,irr,irr,rel,irr,irr,low,6,5,2,0,0,-15,40,36,35,1,2,6,-14.0
47,3,1,rel3,1,irr,irr,irr,irr,irr,irr,4,6,5,0,0,0,38,40,36,4,1,2,0.0
43,3,1,rel3,1,irr,rel,rel,irr,low-mid,mid,6,1,3,0,15,20,40,34,32,1,3,5,34.0
105,3,1,rel3,1,irr,rel,irr,irr,low-mid,irr,6,1,4,0,15,0,40,34,38,1,3,4,13.0
79,3,1,rel3,1,irr,irr,irr,irr,irr,irr,4,5,6,0,0,0,38,36,40,4,2,1,1.0
38,3,2,rel3,2,irr,rel,irr,irr,mid,irr,5,3,6,0,-20,0,36,32,40,2,5,1,-25.0
114,3,2,rel3,2,irr,rel,rel,irr,mid,low,4,3,2,0,-20,-15,38,32,35,4,5,6,-34.0
75,3,1,rel3,1,irr,irr,rel,irr,irr,low-mid,4,5,1,0,0,15,38,36,34,4,2,3,12.0
54,3,2,rel3,2,rel,rel,rel,mid,low,low-mid,3,2,1,-20,-15,-5,32,35,34,5,6,3,-40.0
86,3,2,rel3,2,irr,rel,rel,irr,low-mid,mid,5,1,3,0,-5,-20,36,34,32,2,3,5,-23.0
17,3,1,rel3,1,rel,rel,irr,mid,low-mid,irr,3,1,4,20,15,0,32,34,38,5,3,4,33.0
53,3,1,rel3,1,rel,irr,rel,low,irr,mid,2,4,3,5,0,20,35,38,32,6,4,5,23.0
23,3,1,rel3,1,rel,rel,irr,low-mid,mid,irr,1,3,5,15,20,0,34,32,36,3,5,2,35.0
21,3,1,rel3,1,irr,irr,rel,irr,irr,low,6,5,2,0,0,5,40,36,35,1,2,6,5.0
80,3,2,rel3,2,rel,irr,irr,low,irr,irr,2,5,4,-15,0,0,35,36,38,6,2,4,-13.0
41,3,1,rel3,1,rel,irr,irr,low,irr,irr,2,4,6,5,0,0,35,38,40,6,4,1,4.0
63,3,1,rel3,1,rel,rel,irr,low-mid,mid,irr,1,3,4,15,20,0,34,32,38,3,5,4,34.0
52,3,2,rel3,2,irr,rel,irr,irr,low-mid,irr,5,1,6,0,-5,0,36,34,40,2,3,1,-5.0
32,3,2,rel3,2,irr,rel,irr,irr,low-mid,irr,6,1,5,0,-5,0,40,34,36,1,3,2,-9.0
24,3,2,rel3,2,irr,rel,irr,irr,mid,irr,5,3,6,0,-20,0,36,32,40,2,5,1,-20.0
31,3,1,rel3,1,irr,rel,rel,irr,low-mid,low,4,1,2,0,15,5,38,34,35,4,3,6,20.0
39,3,1,rel3,1,rel,irr,irr,mid,irr,irr,3,6,5,20,0,0,32,40,36,5,1,2,18.0
5,3,1,rel3,1,irr,rel,rel,irr,low,low-mid,4,2,1,0,5,15,38,35,34,4,6,3,22.0
55,3,1,rel3,1,irr,rel,irr,irr,low-mid,irr,4,1,6,0,15,0,38,34,40,4,3,1,14.0
13,3,1,rel3,1,rel,irr,irr,low-mid,irr,irr,1,4,5,15,0,0,34,38,36,3,4,2,15.0
97,3,1,rel3,1,irr,rel,irr,irr,mid,irr,4,3,5,0,20,0,38,32,36,4,5,2,20.0
93,3,1,rel3,1,rel,rel,irr,low-mid,low,irr,1,2,5,15,5,0,34,35,36,3,6,2,22.0
46,3,2,rel3,2,irr,rel,rel,irr,low,low-mid,4,2,1,0,-15,-5,38,35,34,4,6,3,-21.0
28,3,2,rel3,2,irr,rel,irr,irr,low-mid,irr,6,1,4,0,-5,0,40,34,38,1,3,4,-4.0
11,3,1,rel3,1,irr,rel,rel,irr,low,mid,4,2,3,0,5,20,38,35,32,4,6,5,26.0
35,3,1,rel3,1,rel,rel,rel,low,low-mid,mid,2,1,3,5,15,20,35,34,32,6,3,5,44.0
42,3,2,rel3,2,irr,rel,rel,irr,low-mid,mid,5,1,3,0,-5,-20,36,34,32,2,3,5,-26.0
89,3,1,rel3,1,irr,rel,irr,irr,low-mid,irr,6,1,4,0,15,0,40,34,38,1,3,4,13.0
106,3,2,rel3,2,rel,rel,irr,low-mid,low,irr,1,2,6,-5,-15,0,34,35,40,3,6,1,-23.0
2,3,2,rel3,2,rel,irr,rel,low,irr,low-mid,2,5,1,-15,0,-5,35,36,34,6,2,3,-21.0
6,3,2,rel3,2,irr,irr,rel,irr,irr,mid,6,4,3,0,0,-20,40,38,32,1,4,5,-17.0
73,3,1,rel3,1,irr,rel,irr,irr,low,irr,6,2,4,0,5,0,40,35,38,1,6,4,6.0
96,3,2,rel3,2,irr,irr,irr,irr,irr,irr,5,6,4,0,0,0,36,40,38,2,1,4,2.0
60,3,2,rel3,2,irr,rel,rel,irr,mid,low,5,3,2,0,-20,-15,36,32,35,2,5,6,-36.0
69,3,1,rel3,1,rel,rel,irr,mid,low-mid,irr,3,1,6,20,15,0,32,34,40,5,3,1,35.0
84,3,2,rel3,2,irr,rel,rel,irr,mid,low,4,3,2,0,-20,-15,38,32,35,4,5,6,-36.0
103,3,1,rel3,1,irr,rel,rel,irr,mid,low-mid,6,3,1,0,20,15,40,32,34,1,5,3,32.0
27,3,1,rel3,1,irr,irr,rel,irr,irr,low-mid,6,5,1,0,0,15,40,36,34,1,2,3,15.0
61,3,1,rel3,1,rel,irr,rel,low-mid,irr,mid,1,5,3,15,0,20,34,36,32,3,2,5,32.0
112,3,2,rel3,2,rel,rel,irr,low-mid,mid,irr,1,3,5,-5,-20,0,34,32,36,3,5,2,-26.0
107,3,1,rel3,1,rel,irr,irr,low-mid,irr,irr,1,4,5,15,0,0,34,38,36,3,4,2,14.0
3,3,1,rel3,1,irr,irr,irr,irr,irr,irr,5,6,4,0,0,0,36,40,38,2,1,4,0.0
100,3,2,rel3,2,irr,irr,rel,irr,irr,low-mid,4,5,1,0,0,-5,38,36,34,4,2,3,-4.0
15,3,1,rel3,1,rel,rel,irr,low,low-mid,irr,2,1,4,5,15,0,35,34,38,6,3,4,19.0
12,3,2,rel3,2,irr,irr,irr,irr,irr,irr,6,4,5,0,0,0,40,38,36,1,4,2,0.0
102,3,2,rel3,2,rel,rel,irr,low,mid,irr,2,3,5,-15,-20,0,35,32,36,6,5,2,-31.0
82,3,2,rel3,2,rel,rel,irr,low-mid,low,irr,1,2,4,-5,-15,0,34,35,38,3,6,4,-19.0
81,3,1,rel3,1,rel,irr,irr,mid,irr,irr,3,4,6,20,0,0,32,38,40,5,4,1,22.0
119,3,1,rel3,1,rel,rel,irr,low,low-mid,irr,2,1,5,5,15,0,35,34,36,6,3,2,23.0
16,3,2,rel3,2,rel,irr,rel,mid,irr,low,3,4,2,-20,0,-15,32,38,35,5,4,6,-39.0
99,3,1,rel3,1,rel,rel,rel,low,mid,low-mid,2,3,1,5,20,15,35,32,34,6,5,3,40.0
101,3,1,rel3,1,rel,irr,irr,low,irr,irr,2,4,6,5,0,0,35,38,40,6,4,1,6.0
10,3,2,rel3,2,rel,rel,irr,mid,low,irr,3,2,6,-20,-15,0,32,35,40,5,6,1,-38.0
78,3,2,rel3,2,rel,irr,irr,mid,irr,irr,3,4,6,-20,0,0,32,38,40,5,4,1,-19.0
70,3,2,rel3,2,irr,rel,rel,irr,mid,low,4,3,2,0,-20,-15,38,32,35,4,5,6,-32.0
36,3,2,rel3,2,irr,irr,rel,irr,irr,low,4,5,2,0,0,-15,38,36,35,4,2,6,-15.0
104,3,2,rel3,2,irr,irr,rel,irr,irr,mid,6,5,3,0,0,-20,40,36,32,1,2,5,-22.0
71,3,1,rel3,1,rel,irr,rel,low,irr,low-mid,2,5,1,5,0,15,35,36,34,6,2,3,18.0
